"PLAN_INDEX","TOOL_IDENTIFIER","COUNTRY","COUNT"
"921","CC BY 4.0","Afghanistan","541"
"922","CC BY 4.0","Albania","331"
"923","CC BY 4.0","Algeria","3280"
"924","CC BY 4.0","American Samoa","5"
"925","CC BY 4.0","Andorra","5"
"926","CC BY 4.0","Angola","196"
"927","CC BY 4.0","Anguilla","1"
"928","CC BY 4.0","Antarctica","6"
"929","CC BY 4.0","Antigua and Barbuda","8"
"930","CC BY 4.0","Argentina","60400"
"931","CC BY 4.0","Armenia","9560"
"932","CC BY 4.0","Aruba","20700"
"933","CC BY 4.0","Australia","207000"
"934","CC BY 4.0","Austria","34800"
"935","CC BY 4.0","Azerbaijan","2000"
"936","CC BY 4.0","Bahamas","5"
"937","CC BY 4.0","Bahrain","91"
"938","CC BY 4.0","Bangladesh","1820"
"939","CC BY 4.0","Barbados","6"
"940","CC BY 4.0","Belarus","496"
"941","CC BY 4.0","Belgium","86600"
"942","CC BY 4.0","Belize","5"
"943","CC BY 4.0","Benin","431"
"944","CC BY 4.0","Bermuda","4"
"945","CC BY 4.0","Bhutan","635"
"946","CC BY 4.0","Bolivia","1300"
"947","CC BY 4.0","Bosnia and Herzegovina","2160"
"948","CC BY 4.0","Botswana","151"
"949","CC BY 4.0","Bouvet Island","0"
"950","CC BY 4.0","Brazil","530000"
"951","CC BY 4.0","British Indian Ocean Territory","0"
"952","CC BY 4.0","Brunei Darussalam","304"
"953","CC BY 4.0","Bulgaria","14200"
"954","CC BY 4.0","Burkina Faso","72"
"955","CC BY 4.0","Burundi","4"
"956","CC BY 4.0","Cambodia","1610"
"957","CC BY 4.0","Cameroon","144"
"958","CC BY 4.0","Canada","339000"
"959","CC BY 4.0","Cape Verde","6"
"960","CC BY 4.0","Cayman Islands","4"
"961","CC BY 4.0","Central African Republic","0"
"962","CC BY 4.0","Chad","44"
"963","CC BY 4.0","Chile","15100"
"964","CC BY 4.0","China","77400"
"965","CC BY 4.0","Christmas Island","5"
"966","CC BY 4.0","Cocos (Keeling) Islands","0"
"967","CC BY 4.0","Colombia","40100"
"968","CC BY 4.0","Comoros","0"
"969","CC BY 4.0","Congo","36"
"970","CC BY 4.0","Congo, the Democratic Republic of the","49"
"971","CC BY 4.0","Cook Islands","40"
"972","CC BY 4.0","Costa Rica","8610"
"973","CC BY 4.0","Cote D'ivoire","10"
"974","CC BY 4.0","Croatia (Hrvatska)","18800"
"975","CC BY 4.0","Cuba","9630"
"976","CC BY 4.0","Cyprus","8320"
"977","CC BY 4.0","Czech Republic","24300"
"978","CC BY 4.0","Denmark","41900"
"979","CC BY 4.0","Djibouti","8"
"980","CC BY 4.0","Dominica","0"
"981","CC BY 4.0","Dominican Republic","547"
"982","CC BY 4.0","East Timor","0"
"983","CC BY 4.0","Ecuador","37200"
"984","CC BY 4.0","Egypt","3160"
"985","CC BY 4.0","El Salvador","744"
"986","CC BY 4.0","Equatorial Guinea","0"
"987","CC BY 4.0","Eritrea","1"
"988","CC BY 4.0","Estonia","3010"
"989","CC BY 4.0","Ethiopia","1620"
"990","CC BY 4.0","European Union","0"
"991","CC BY 4.0","Falkland Islands (Malvinas)","7"
"992","CC BY 4.0","Faroe Islands","178"
"993","CC BY 4.0","Fiji","199"
"994","CC BY 4.0","Finland","86100"
"995","CC BY 4.0","France","309000"
"996","CC BY 4.0","France, Metropolitan","0"
"997","CC BY 4.0","French Guiana","1"
"998","CC BY 4.0","French Polynesia","4"
"999","CC BY 4.0","French Southern Territories","1"
"1000","CC BY 4.0","Gabon","0"
"1001","CC BY 4.0","Gambia","15"
"1002","CC BY 4.0","Georgia","1090"
"1003","CC BY 4.0","Germany","10800000"
"1004","CC BY 4.0","Ghana","7360"
"1005","CC BY 4.0","Gibraltar","6"
"1006","CC BY 4.0","Greece","14300"
"1007","CC BY 4.0","Greenland","15"
"1008","CC BY 4.0","Grenada","5"
"1009","CC BY 4.0","Guadeloupe","0"
"1010","CC BY 4.0","Guam","0"
"1011","CC BY 4.0","Guatemala","442"
"1012","CC BY 4.0","Guinea","2"
"1013","CC BY 4.0","Guinea-Bissau","6"
"1014","CC BY 4.0","Guyana","40"
