"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"1","CC BY 4.0","381000000"
"2","CC BY-NC 4.0","144000000"
"3","CC BY-NC-ND 4.0","145000000"
"4","CC BY-NC-SA 4.0","60700000"
"5","CC BY-ND 4.0","381000000"
"6","CC BY-SA 4.0","186000000"
"7","PDM 1.0","10600000"
"8","CC0 1.0","26600000"
"9","CC BY 3.0","146000000"
"10","CC BY-NC 3.0","49900000"
"11","CC BY-NC-ND 3.0","48100000"
"12","CC BY-NC-SA 3.0","20600000"
"13","CC BY-ND 3.0","176000000"
"14","CC BY-SA 3.0","81300000"
"15","CC BY 2.5","195000000"
"16","CC BY-NC 2.5","49200000"
"17","CC BY-NC-ND 2.5","49600000"
"18","CC BY-NC-SA 2.5","21700000"
"19","CC BY-ND 2.5","201000000"
"20","CC BY-SA 2.5","95500000"
"21","CC BY 2.0","141000000"
"22","CC BY-NC 2.0","35900000"
"23","CC BY-NC-ND 2.0","35800000"
"24","CC BY-NC-SA 2.0","16400000"
"25","CC BY-ND 2.0","172000000"
"26","CC BY-SA 2.0","57300000"
"27","CC BY 1.0","197000000"
"28","CC BY-NC 1.0","36800000"
"29","CC BY-NC-SA 1.0","16700000"
"30","CC BY-ND 1.0","197000000"
"31","CC BY-ND-NC 1.0","38900000"
"32","CC BY-SA 1.0","81300000"
"33","CC BY 3.0 AM","109000000"
"34","CC BY-NC 3.0 AM","28100000"
"35","CC BY-NC-ND 3.0 AM","27200000"
"36","CC BY-NC-SA 3.0 AM","13000000"
"37","CC BY-ND 3.0 AM","109000000"
"38","CC BY-SA 3.0 AM","46800000"
"39","CC BY 3.0 AT","382000000"
"40","CC BY-NC 3.0 AT","190000000"
"41","CC BY-NC-ND 3.0 AT","48200000"
"42","CC BY-NC-SA 3.0 AT","85200000"
"43","CC BY-ND 3.0 AT","176000000"
"44","CC BY-SA 3.0 AT","288000000"
"45","CC BY 3.0 AU","182000000"
"46","CC BY-NC 3.0 AU","38900000"
"47","CC BY-NC-ND 3.0 AU","9010000"
"48","CC BY-NC-SA 3.0 AU","16600000"
"49","CC BY-ND 3.0 AU","26200000"
"50","CC BY-SA 3.0 AU","85700000"
"51","CC BY 3.0 AZ","16900000"
"52","CC BY-NC 3.0 AZ","782000"
"53","CC BY-NC-ND 3.0 AZ","718000"
"54","CC BY-NC-SA 3.0 AZ","291000"
"55","CC BY-ND 3.0 AZ","16600000"
"56","CC BY-SA 3.0 AZ","5770000"
"57","CC BY 3.0 BR","32600000"
"58","CC BY-NC 3.0 BR","10000000"
"59","CC BY-NC-ND 3.0 BR","9990000"
"60","CC BY-NC-SA 3.0 BR","1120000"
"61","CC BY-ND 3.0 BR","32300000"
"62","CC BY-SA 3.0 BR","16800000"
"63","CC BY 3.0 CA","98800000"
"64","CC BY-NC 3.0 CA","23700000"
"65","CC BY-NC-ND 3.0 CA","23700000"
"66","CC BY-NC-SA 3.0 CA","11000000"
"67","CC BY-ND 3.0 CA","98200000"
"68","CC BY-SA 3.0 CA","44200000"
"69","CC BY 3.0 CH","69800000"
"70","CC BY-NC 3.0 CH","17400000"
"71","CC BY-NC-ND 3.0 CH","13800000"
"72","CC BY-NC-SA 3.0 CH","6030000"
"73","CC BY-ND 3.0 CH","69700000"
"74","CC BY-SA 3.0 CH","26900000"
"75","CC BY 3.0 CL","163000000"
"76","CC BY-NC 3.0 CL","41200000"
"77","CC BY-NC-ND 3.0 CL","8740000"
"78","CC BY-NC-SA 3.0 CL","20800000"
"79","CC BY-ND 3.0 CL","31600000"
"80","CC BY-SA 3.0 CL","90600000"
"81","CC BY 3.0 CN","19300000"
"82","CC BY-NC 3.0 CN","3220000"
"83","CC BY-NC-ND 3.0 CN","2810000"
"84","CC BY-NC-SA 3.0 CN","423000"
"85","CC BY-ND 3.0 CN","20500000"
"86","CC BY-SA 3.0 CN","7750000"
"87","CC BY 3.0 CR","30500000"
"88","CC BY-NC 3.0 CR","6520000"
"89","CC BY-NC-ND 3.0 CR","6120000"
"90","CC BY-NC-SA 3.0 CR","846000"
"91","CC BY-ND 3.0 CR","29300000"
"92","CC BY-SA 3.0 CR","18200000"
"93","CC BY 3.0 CZ","377000"
"94","CC BY-NC 3.0 CZ","162000"
"95","CC BY-NC-ND 3.0 CZ","156000"
"96","CC BY-NC-SA 3.0 CZ","91200"
"97","CC BY-ND 3.0 CZ","390000"
"98","CC BY-SA 3.0 CZ","206000"
"99","CC BY 3.0 DE","381000000"
"100","CC BY-NC 3.0 DE","149000000"
"101","CC BY-NC-ND 3.0 DE","25200000"
"102","CC BY-NC-SA 3.0 DE","69000000"
"103","CC BY-ND 3.0 DE","103000000"
"104","CC BY-SA 3.0 DE","234000000"
"105","CC BY 3.0 EC","180000000"
"106","CC BY-NC 3.0 EC","43300000"
"107","CC BY-NC-ND 3.0 EC","8240000"
"108","CC BY-NC-SA 3.0 EC","20500000"
"109","CC BY-ND 3.0 EC","35800000"
"110","CC BY-SA 3.0 EC","96500000"
"111","CC BY 3.0 EE","12500000"
"112","CC BY-NC 3.0 EE","866000"
"113","CC BY-NC-ND 3.0 EE","838000"
"114","CC BY-NC-SA 3.0 EE","507000"
"115","CC BY-ND 3.0 EE","12400000"
"116","CC BY-SA 3.0 EE","3350000"
"117","CC BY 3.0 EG","122000000"
"118","CC BY-NC 3.0 EG","26300000"
"119","CC BY-NC-ND 3.0 EG","26300000"
"120","CC BY-NC-SA 3.0 EG","12600000"
"121","CC BY-ND 3.0 EG","122000000"
"122","CC BY-SA 3.0 EG","53200000"
"123","CC BY 3.0 ES","34500000"
"124","CC BY-NC 3.0 ES","7590000"
"125","CC BY-NC-ND 3.0 ES","5600000"
"126","CC BY-NC-SA 3.0 ES","1380000"
"127","CC BY-ND 3.0 ES","34200000"
"128","CC BY-SA 3.0 ES","18900000"
"129","CC BY 3.0 FR","376000000"
"130","CC BY-NC 3.0 FR","186000000"
"131","CC BY-NC-ND 3.0 FR","39500000"
"132","CC BY-NC-SA 3.0 FR","83000000"
"133","CC BY-ND 3.0 FR","171000000"
"134","CC BY-SA 3.0 FR","264000000"
"135","CC BY 3.0 GE","115000000"
"136","CC BY-NC 3.0 GE","28300000"
"137","CC BY-NC-ND 3.0 GE","5370000"
"138","CC BY-NC-SA 3.0 GE","14200000"
"139","CC BY-ND 3.0 GE","23500000"
"140","CC BY-SA 3.0 GE","60900000"
"141","CC BY 3.0 GR","60700000"
"142","CC BY-NC 3.0 GR","15800000"
"143","CC BY-NC-ND 3.0 GR","15800000"
"144","CC BY-NC-SA 3.0 GR","5780000"
"145","CC BY-ND 3.0 GR","60600000"
"146","CC BY-SA 3.0 GR","26900000"
"147","CC BY 3.0 GT","29800000"
"148","CC BY-NC 3.0 GT","6630000"
"149","CC BY-NC-ND 3.0 GT","409000"
"150","CC BY-NC-SA 3.0 GT","793000"
"151","CC BY-ND 3.0 GT","5580000"
"152","CC BY-SA 3.0 GT","15200000"
"153","CC BY 3.0 HK","14600000"
"154","CC BY-NC 3.0 HK","827000"
"155","CC BY-NC-ND 3.0 HK","786000"
"156","CC BY-NC-SA 3.0 HK","334000"
"157","CC BY-ND 3.0 HK","14600000"
"158","CC BY-SA 3.0 HK","3000000"
"159","CC BY 3.0 HR","41800000"
"160","CC BY-NC 3.0 HR","11300000"
"161","CC BY-NC-ND 3.0 HR","10900000"
"162","CC BY-NC-SA 3.0 HR","1300000"
"163","CC BY-ND 3.0 HR","45200000"
"164","CC BY-SA 3.0 HR","21800000"
"165","CC BY 3.0 IE","289000000"
"166","CC BY-NC 3.0 IE","85000000"
"167","CC BY-NC-ND 3.0 IE","16500000"
"168","CC BY-NC-SA 3.0 IE","31100000"
"169","CC BY-ND 3.0 IE","72400000"
"170","CC BY-SA 3.0 IE","146000000"
"171","CC BY 3.0 IGO","218000"
"172","CC BY-NC 3.0 IGO","131000"
"173","CC BY-NC-ND 3.0 IGO","130000"
"174","CC BY-NC-SA 3.0 IGO","103000"
"175","CC BY-ND 3.0 IGO","212000"
"176","CC BY-SA 3.0 IGO","148000"
"177","CC BY 3.0 IT","376000000"
"178","CC BY-NC 3.0 IT","187000000"
"179","CC BY-NC-ND 3.0 IT","39500000"
"180","CC BY-NC-SA 3.0 IT","83200000"
"181","CC BY-ND 3.0 IT","164000000"
"182","CC BY-SA 3.0 IT","266000000"
"183","CC BY 3.0 LU","27800000"
"184","CC BY-NC 3.0 LU","7810000"
"185","CC BY-NC-ND 3.0 LU","7490000"
"186","CC BY-NC-SA 3.0 LU","786000"
"187","CC BY-ND 3.0 LU","29800000"
"188","CC BY-SA 3.0 LU","16000000"
"189","CC BY 3.0 NL","15300000"
"190","CC BY-NC 3.0 NL","729000"
"191","CC BY-NC-ND 3.0 NL","693000"
"192","CC BY-NC-SA 3.0 NL","332000"
"193","CC BY-ND 3.0 NL","15200000"
"194","CC BY-SA 3.0 NL","8170000"
"195","CC BY 3.0 NO","376000000"
"196","CC BY-NC 3.0 NO","184000000"
"197","CC BY-NC-ND 3.0 NO","43300000"
"198","CC BY-NC-SA 3.0 NO","82000000"
"199","CC BY-ND 3.0 NO","167000000"
"200","CC BY-SA 3.0 NO","261000000"
"201","CC BY 3.0 NZ","375000"
"202","CC BY-NC 3.0 NZ","173000"
"203","CC BY-NC-ND 3.0 NZ","174000"
"204","CC BY-NC-SA 3.0 NZ","98100"
"205","CC BY-ND 3.0 NZ","444000"
"206","CC BY-SA 3.0 NZ","194000"
"207","CC BY 3.0 PH","196000000"
"208","CC BY-NC 3.0 PH","49900000"
"209","CC BY-NC-ND 3.0 PH","11800000"
"210","CC BY-NC-SA 3.0 PH","22800000"
